시나리오,블록(인텐트),해당 분야,기존 인텐트,발화,TE/TR,No. (TE/TR),삭제,비고
가입문의,기본,일반,가입방법문의,회원 가입을 희망하니 방법 안내,TR,,FALSE,
가입문의,기본,일반,가입방법문의,어케 만들어요 회원 계정,TR,,FALSE,
가입문의,기본,일반,가입방법문의,어또케 가입할 수 있엉,TR,,FALSE,
가입문의,기본,일반,가입방법문의,가입하고 싶은데 어떻게 하면 돼,TR,,FALSE,
가입문의,기본,일반,가입방법문의,가입 어떻게 하는지 좀 말해줄래,TR,,FALSE,
가입문의,기본,일반,가입방법문의,어떻게 하면 쉽게 가입 가능해,TR,,FALSE,
가입문의,기본,일반,가입방법문의,어떻게 가입할 수 있는지 자세히 설명해줘,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원 아이디를 좀 만들려고 하는데요,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원 아이디 만들 때 어떤거 해,TR,,FALSE,
가입문의,기본,일반,가입방법문의,아이디 좀 만들려고 해,TR,,FALSE,
가입문의,기본,일반,가입방법문의,아이디 만들어 볼까 하는데,TR,,FALSE,
가입문의,기본,일반,가입방법문의,가입방법은 어떤식으로 이뤄져,TR,,FALSE,
가입문의,기본,일반,가입방법문의,가입은 어떤식인지 좀 설명 해줘바,TR,,FALSE,
가입문의,기본,일반,가입방법문의,회원가입하는 방법은,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,가입하고 싶은데 안돼,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입이 되지 않아요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 어디에서 하는거야,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입하는 거 도와줄 수 있어,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 진행 안되는 경우 어떻게 해,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 필수인가요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,어떻게 진행해 회원가입,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 어디서 가능한지,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입하는 방법 궁금한걸,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,여기서 회원가입 문의해도 되,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 어케 하는지 알려죠,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,가입이 원래 이렇게 어려운가요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 절차에 대해 묻고싶어,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,홈페이지 회원가입 안보이는데요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 도움 요청드려도 되나요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 하고 싶은데 자꾸 안돼요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,더 이상 회원가입 진행이 안됩니다,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 방법 지금 문의해도 되남,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,앱에서 회원가입 안보이는데 없나요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 꼭 하고 싶은데 되질 않아,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,방금 회원가입했는데 로그인 왜 안돼,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 오류뜨는데 왜 그러는건가요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 같은 화면에서 계속 오류남,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 진행 안되는 이유 좀 알려주소,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,제 폰 회원가입이 되지 않으니 도와주세요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 진행하려면 어느 화면에서 해야됨,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 되지 않아서 대신 해주심 안될까요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,어플 깔아서 회원가입했는데 안되는 이유가 머죠,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,앱에서 회원가입 하는 법을 나한테 가르쳐줄 수 있을까,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 방법 설명해주세요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,가입하고 싶었는데 잘 안되네요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,가입하려는데 안되는 이유는,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,가입하는게 안 된다고 하던데 왜 그런 거야,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,가입하려고 하는데 에러로 안됨,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,새로운 아이디 생성해야 해,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회갑 정보 제대로 입력했는데 자꾸 오류 났다네,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 제대로 입력했는데 계속 오류 났다고 함,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 할 때 진짜 제대로 입력했는데 오류 났다고 하네,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입 하려는데 제대로 입력했는거 맞는데 오류 났다고 해요,TR,,FALSE,
가입문의,기본,일반,회원가입로그인오류,회원가입하는데 제대로 입력 다 했는데 오류가 났다고 하는데요,TR,,FALSE,
가입문의,기본,일반,가입,가입 절차 좀 말해줘 봐,TR,,FALSE,
가입문의,기본,일반,가입,가입은 어떻게 진행해야 해,TR,,FALSE,
가입문의,기본,일반,가입,어떻게 가입할 수 있는 건가요,TR,,FALSE,
가입문의,기본,일반,가입,가입하는 거 도와줘,TR,,FALSE,
가입문의,기본,일반,가입,가입할려는데 어떻게 해야 하지,TR,,FALSE,
가입문의,기본,일반,가입,회원 가입하고 싶어요,TR,,FALSE,
가입문의,기본,일반,가입,회원가입 절차 좀 알려줘 봐,TR,,FALSE,
가입문의,기본,일반,가입,회원 가입하고 싶은데 도와줄래,TR,,FALSE,
가입문의,기본,일반,가입,회원으로 등록하고 싶어요,TR,,FALSE,
가입문의,기본,일반,가입,회원 계정 만들고 싶어요,TR,,FALSE,
가입문의,기본,일반,가입,회원 가입은 어떤 절차로 진행되죠,TR,,FALSE,
가입문의,기본,일반,가입,회원 가입 절차 공유해줄 수 있니,TR,,FALSE,
가입문의,기본,일반,가입,계정 만들고 싶어요,TR,,FALSE,
가입문의,기본,일반,가입,계정 등록할래,TR,,FALSE,
가입문의,기본,일반,가입,계정 만들어서 가입할래,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,가입할 때 본인확인은 필수야,TE,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입 시 본인 확인하는지,TE,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,가입하는데 본인 인증이 필요한가요,TE,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,가입할 때 본인 인증 절차 필수인지요,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,본인 인증 필수야 회원가입할 때,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,설마 가입할 때 본인인증 해여,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입할건데 본인 인증 해야 돼,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입하는데 본인인증 받아야 하는 거,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입 본인인증 꼭 해야 하니,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입 시 본인 인증 여부 알려줘,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입할 때 본인인증 꼭 거쳐야 됨,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입할 건데 인증 절차 있나염,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입 때 본인 인증 절차 거치나여,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,본인 인증하는지 회원가입할 때,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입하려면 본인 인증 해야 됨,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입할 경우 본인인증 필수인가요,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입 시 본인인증 필수니,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,본인 인증 필수인가여 회원가입 시,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,반드시 본인 인증이 필요한가요 가입할 때,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입할 때 본인 인증 거쳐야 하는지 궁금,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,본인인증 꼭 해야 되나 회원가입할 때,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원으로 가입할 때 본인인증도 하나여,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입할 때 본인 인증 필수얌,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입 시 본인 인증 반드시 하는지용,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입할 때 따로 인증해야 해,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입 시 인증이 필수적이니,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입할 경우 본인인증해야만 해,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입에 인증 필요한지 여부 좀,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,혹시 회원가입할 때 인증하는지,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입하려고 하는데 혹시 본인인증이 필요할까,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입할 때 반드시 본인인증해야 하나요,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입 시 꼭 인증해야 하니,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,근데 회원가입은 인증이 필수야,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입할 경우 본인인증을 하는지 궁금해,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입 과정에서 본인인증해야 해,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,가입할 때 본인확인은 필수야,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,가입할 때 본인인지 확인하나요,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,회원가입 시 본인 확인하는지,TR,,FALSE,
가입유의사항문의,본인인증,일반,가입유의사항문의,가입하는데 본인 인증이 필요한가요,TR,,FALSE,
가입유의사항문의,기본,일반,,회원 가입하기 전에 알아야 할 정보,TE,,FALSE,
가입유의사항문의,기본,일반,,회원가입 주의해야 할 사항,TE,,FALSE,
가입유의사항문의,기본,일반,,회원가입 전 유의 정보,TE,,FALSE,
가입유의사항문의,기본,일반,,회원 가입할 건데 안내 있나요,TE,,FALSE,
가입유의사항문의,기본,일반,,회원가입 관련 안내 있을까요,TE,,FALSE,
가입유의사항문의,기본,일반,,회원가입 고려 사항 보내,TE,,FALSE,
가입유의사항문의,기본,일반,,회원 되기 전 중요 정보 있어,TE,,FALSE,
가입유의사항문의,기본,일반,,가입 관련된 주요 정보,TE,,FALSE,
가입유의사항문의,기본,일반,,회원 되기 전에 유의사항 숙지할래,TE,,FALSE,
가입유의사항문의,기본,일반,,회원 가입 전 알려줄 내용,TE,,FALSE,
가입유의사항문의,기본,일반,,가입 전에 공지 사항 있나,TE,,FALSE,
가입유의사항문의,기본,일반,,가입 전에 안내사항 말해줘,TE,,FALSE,
가입유의사항문의,기본,일반,,가입 전 안내사항 문의,TE,,FALSE,
가입유의사항문의,기본,일반,,회원가입 때 주의할 내용,TE,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록 시 알아둘 것,TE,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록한다면 유의사항,TE,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록하려면 숙지할 점 있어,TE,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록할 건데 참고할 부분 알려줘,TE,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입 참고사항 궁금해,TE,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입할 때 체크할 사항 설명해,TE,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입 시 체크 사항이 뭐죠,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입하기 위해 체크할 것들,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입할 때 알아둘 부분,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입할 경우 알아둘 점 말해 줄래 제발,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입 시 주의점 대답해 주렴,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입할 경우 고려할 점 얘기해봐,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입할 때 주의할 부분 뭡니까,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입할 경우 무엇을 꼭 체크해야 하나요,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입할 때 뭐 중요한 거 있어염,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,뭐 있어 회원가입할 때 체크할 부분,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,뭐가 있나여 회원가입 시 조심할 점이,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,어떤게 있니 회원가입 체크사항으로,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,만약 가입할 때 유의사항이 있다면 어떤 건지 알려줄래,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,특별히 신경써야 할 부분 있나 회원가입할 때,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,어떤 것들을 주의해야 해 회원가입할 때는,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입 할건데 뭐 조심해야 할까,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입 하려고 하는데 주의사항 뭐 있죠,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,어떤 걸 조심해야 돼 회원가입 할건데,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,나 회원이 되려고 하는데 어떤 점 주의해야 함,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,유의해야할 부분 좀 알려줘 회원가입,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,혹시 뭐 주의할 사항 없니 회원가입,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입시 꼭 알아야할 점이 있다면,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,참고해야할 부분이 있나요 회원가입시에,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,근데 회원가입할건데 뭐 조심해,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,뭐 신경쓸 것 있나 회원가입 시에,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입 시 고려할 사항이 있다면 다 말해줘,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 가입할건데 참고해야 할 부분이 있다면,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,주의사항 뭐뭐 이씀 회원가입할 때,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,고려할 사항 회원가입,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입하는데 있어 고려할 것들,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입에 고려해야 할 점은 없어,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입하고 싶은데 뭐 주의해야 돼,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입 시 고려할 부분 뭐 있어요,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입할 때 반드시 알아둘 부분 어떤 거 있을까,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원으로 가입할 때 체크사항은 어떤 거,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입 시 주의사항 알려줘용,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입할 건데 체크할 부분 있을까염,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입할 때 뭐 주의해야 하는지 알려줘,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입 시 유의해야 하는 것 있어,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입하려는데 주의해야 되는 부분은 무엇이 있나용,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,주의해야 되는 것 좀 말해줄래 가입할 때,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,주의할 게 뭐가 있지 가입하려는 경우에는,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입 시 관련 유의사항 있습니까,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입하고자 하는데 관련된 주의사항 궁금,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입하려는데 주의사항 모야,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입 신청할 경우 주의할 점 알려줘,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입할 건데 유의점이 있을까,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입 시 유의사항은 어떠캐 되나요,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,신청 원하는데 알아야 할 주의사항 뭐 있음,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입하고 싶은데 유의점은 어디서 볼 수 있어,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입 시 주의할 것,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입 요청 시 주의점 안내해 줘,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,신청하려면 알아야 할 유의점 고고,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입할 때 고려해야 하는 주의점 궁금해가지고요,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,신청 시 주의해야 하는 사항은 어떤 건가,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,가입 시 체크해야 하는 유의사항 상담하고 싶은데 될까요,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,신청할 땐 어떤 점을 주의해야 되는지 설명 부탁합니다,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원가입 시 참고해야 하는 주의사항 보여줘,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록할 땐 주의사항 뭐 알아야 돼,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록은 어떤 주의할 점이 있을깡,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원등록 시 유의할 점 말해줘,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원으로 등록하면 주의해야 될 것이 궁금해서,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록 시 유의사항은 어떻게 되는지,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원으로 등록하고 싶은데 주의사항 보내줘,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록할 때 주의할 부분 어떤 게 있나 좀 알고 싶거든요,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원등록할 건데 주의사항 없어,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록하고 싶은데 알아야 할 유의점 어떻게 돼,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록 시 주의해야 하는 것은,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원으로 등록하면 주의점 뭔지 알 수 있어,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록 시 주의할 점 문의,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원등록할 경우 유의사항 대답해 주겠니,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록하려고 하는데 주의사항 설명해 줘요,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록은 주의할 점 뭐 있지,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록 시 숙지할 점 말해줘,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원으로 등록한다면 숙지할 점은 뭐지,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록할 때 숙지해야 하는 점은 어떻게 돼,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록한다면 숙지할 점 없나,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원으로 등록하면 숙지할 점 확인하려고,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록하고 싶은데 숙지해야 할 점 말해줘,TR,,FALSE,
가입유의사항문의,기본,일반,가입유의사항문의,회원 등록시 숙지할 점이 궁금해,TR,,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,결제 내역 확인 가능하니,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,결제 내역 확인해줘,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,나의 결제 이력 보는 법 알고 싶어,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,내가 결제한 내역 확인법,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,무통장입금으로 결제 완료된 내역,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,무통장입금 결제 이력,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,무통장입금 결제 목록 체크할래요,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,무통장입금 내역 보는 거 어디서 해,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,자동이체 결제 완료 내역,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,자동이체 결제 내역 확인하는 법 안내해 주세요,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,자동이체로 결제했던 것 확인할 수 없어,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,자동이체로 결제한 거 확인해 보고 싶어요,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,내 카드 결제 목록 어디서 봐,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,카드로 결제한 거 볼 수 있을까,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,신용카드 결제 완료 리스트,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,신용카드 결제 내역 리스트 확인 요청,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,체크카드로 결제한 것 확인 어떻게 할 수 있지,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,체크카드 결제 완료 내역 조회하기,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,체크카드 결제 내역 조회 방법,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,체크카드 결제 이력 궁금해,TE,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,결제 끝난 것들 좀 보고 싶은데 어떻게 하죠,TR,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,결제완료 리스트 좀 조회하고 싶은데 어디서 봐,TR,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,결제완료 목록 조회하고 싶은데 방법 좀요,TR,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,결제된 상품들 이력 어캐 봄,TR,FALSE,FALSE,
결제/증빙,결제내역문의,커머스,결제내역문의,체크하고 싶어 결제 완료 제품 목록,TR,FALSE,FALSE,
