프로젝트,인텐트,인텐트 카테고리,No. (TE/TR),발화,TR/TE,담당자,비고,킴블린,데일,슬리,이사벨
한국투자증권,비밀번호 변경 방법,,9/60,비밀번호 변경시 홈페이지에서도 가능한지,TR,킴블린,,,,,
한국투자증권,비밀번호 변경 방법,,9/60,누군가 내 ID로 로그인한거 같은데 비밀번호 바꿔야 겠어,TR,킴블린,,,,,
한국투자증권,사고신고 접수 방법,,7/23,고객센터에 사고신고 하고싶어,TE,킴블린,,"카드사, 택배사, 커머스(배송 중 분실) 등에서 활용 가능할 것이라 생각",글로벌하진 X,제거,제거
한국투자증권,사고신고 접수 방법,,7/23,챗봇으로 사고신고 할 수 있어,TE,킴블린,,,,,
한국투자증권,사고신고 접수 방법,,7/23,사고신고 고객센터 연락처 문의,TR,킴블린,,,,,
한국투자증권,사고신고 접수 방법,,7/23,ARS로 직접 사고신고 할수 있어,TR,킴블린,,,,,
한국투자증권,사고신고 접수 방법,,7/23,사고신고 방법이 궁금해,TR,킴블린,,,,,
한국투자증권,신분증 확인방법,,17/61,핸드폰 카메라가 자꾸 오류떠서 신분증을 찍을 수 없어요,TE,킴블린,,"은행, 주식, 간편결제 등 본인 인증 필요 도메인에서 활용 가능할 것이라 생각",애매..,금융 이외에 또 있을까요?,제거
한국투자증권,신분증 확인방법,,17/61,신분증 인증하는데 촬영 오류가 나요,TE,킴블린,,,,,
한국투자증권,신분증 확인방법,,17/61,신분증 찍는 카메라 화면 검은색,TR,킴블린,,,,,
한국투자증권,신분증 확인방법,,17/61,어플로 가입을 위해 신분증을 촬영해야하는데 신분증이 지금 여권밖에 없습니다,TR,킴블린,,,,,
한국투자증권,신분증 확인방법,,17/61,신분증 확인불가하대는데 모야,TR,킴블린,,,,,
한국투자증권,알림서비스,,2/13,홈페이지에서 알림 서비스 신청,TE,킴블린,,,,,
한국투자증권,알림서비스,,2/13,알림서비스 어디서 찾을 수 있어,TE,킴블린,,,,,
한국투자증권,알림서비스,,2/13,알림거부 서비스 신청 어떻게해,TR,킴블린,,,,,
한국투자증권,알림서비스,,2/13,알림톡 설정 변경하는거 어떻게해,TR,킴블린,,,,,
한국투자증권,알림서비스,,2/13,알림 설정,TR,킴블린,,,,,
한국투자증권,영업점 위치_번호 안내,,13/63,여의도 지점 방문하려고,TE,킴블린,,,엔티티에 따라 다를듯,제거,제거
한국투자증권,영업점 위치_번호 안내,,13/63,문의가 있어서 영업점이랑 통화하고 싶어요,TE,킴블린,,,,,
한국투자증권,영업점 위치_번호 안내,,13/63,지점에 전화해야하는데 전화번호 뭐야,TR,킴블린,,,,,
한국투자증권,영업점 위치_번호 안내,,13/63,지점 문의가 필요한데 전화번호 알려주세요,TR,킴블린,,,,,
한국투자증권,영업점 위치_번호 안내,,13/63,수지 지점 위치 알려주세여,TR,킴블린,,,,,
한국투자증권,인증서 가져오기 방법,,17/70,핸드폰에 있는 공인인증서를 PC로 보내는 방법,TE,킴블린,,"은행, 주식, 간편결제 등 본인 인증 필요 도메인에서 활용 가능할 것이라 생각",금융권에 한함,제거,제거
한국투자증권,인증서 가져오기 방법,,17/70,공동 인증서 복사하는 방법 문의,TE,킴블린,,,,,
한국투자증권,인증서 가져오기 방법,,17/70,인증서 어떻게 옮기나요,TR,킴블린,,,,,
한국투자증권,인증서 가져오기 방법,,17/70,인증서 가져와서 보내는 메뉴는 어디에 있어,TR,킴블린,,,,,
한국투자증권,인증서 가져오기 방법,,17/70,스마트폰 PC 동시 공인인증서 못쓰는 건가,TR,킴블린,,,,,
한국투자증권,정정취소거래 방법,,3/28,주문 철회는 어디서해,TE,킴블린,,주식 주문에 관한 내용이나 일반 상품 주문과도 Fit한 발화들을 추출,금융권에 한함,제거,제거
한국투자증권,정정취소거래 방법,,3/28,자꾸 안되는데 주문취소가,TE,킴블린,,,,,
한국투자증권,정정취소거래 방법,,3/28,주문 정정하는 방법을 모르겟어,TR,킴블린,,,,,
한국투자증권,정정취소거래 방법,,3/28,주문한거 그냥 취소할래,TR,킴블린,,,,,
한국투자증권,정정취소거래 방법,,3/28,주문 취소할수 잇음,TR,킴블린,,,,,
한국투자증권,한국투자인증 이용 방법,,14/75,휴대폰 교체해서 간편인증을 다시 등록하고 싶어요,TE,킴블린,,많은 도메인의 어플에서 페이스아이디/생체인증 로그인을 활용하기에 추출,,,제거
한국투자증권,한국투자인증 이용 방법,,14/75,바이오 아이디로 인증이 안되네요,TE,킴블린,,,,,
한국투자증권,한국투자인증 이용 방법,,14/75,생체 인증이 잠기면 어떻게해요,TR,킴블린,,,,,
한국투자증권,한국투자인증 이용 방법,,14/75,페이스아이디가 자꾸  인증이 안되요,TR,킴블린,,,,,
한국투자증권,한국투자인증 이용 방법,,14/75,간편비번 여러 번 틀렸어요,TR,킴블린,,,,,
암웨이,가입방법문의,,7/52,회원가입 방법 말해주세요,TE,킴블린,,,,,제거
암웨이,가입방법문의,,7/52,회원은 아무나 가입돼,TE,킴블린,,,,,
암웨이,가입방법문의,,7/52,회원 가입을 희망하니 방법 안내,TR,킴블린,,,,,
암웨이,가입방법문의,,7/52,저 가입은 어떻게 하는거지,TR,킴블린,,,,,
암웨이,가입방법문의,,7/52,회원가입 방법 말해주세요,TR,킴블린,,,,,
암웨이,가입유의사항문의,,14/256,회원 등록할 건데 참고할 부분 알려줘,TE,킴블린,,,,,제거
암웨이,가입유의사항문의,,14/256,회원가입 과정에서 본인인증해야 해,TE,킴블린,,,,,
암웨이,가입유의사항문의,,14/256,가입 시 연락처 뭐 주의해야 해,TR,킴블린,,,,,
암웨이,가입유의사항문의,,14/256,신청 원하는데 알아야 할 주의사항 뭐 있음,TR,킴블린,,,,,
암웨이,가입유의사항문의,,14/256,가입 시 체크해야 하는 유의사항 상담하고 싶은데 될까요,TR,킴블린,,,,,
암웨이,가입자격문의,,6/145,가입자격 알려주세요,TE,킴블린,,,이것도 애매함,,제거
암웨이,가입자격문의,,6/145,미성년자 가입 몇 살부터 가능해,TE,킴블린,,,,,
암웨이,가입자격문의,,6/145,프랑스 사람이 우리나라에서 회원 될 수 이써,TR,킴블린,,,,,
암웨이,가입자격문의,,6/145,가입 조건에 걸리나요 외국인 회원 가입,TR,킴블린,,,,,
암웨이,가입자격문의,,6/145,가입자격 알고 싶어,TR,킴블린,,,,,
암웨이,갱신방법문의,,9/102,갱신 원해요,TE,킴블린,,,보통 무엇을 갱신한다고 해서 엔티티 조합이 필요할듯,제거,제거
암웨이,갱신방법문의,,9/102,나 갱신할래,TE,킴블린,,,,,
암웨이,갱신방법문의,,9/102,갱신하는 방법 안내 필요해,TR,킴블린,,,,,
암웨이,갱신방법문의,,9/102,어따 요청하나요 갱신하고 싶으면,TR,킴블린,,,,,
암웨이,갱신방법문의,,9/102,본인 확인 필요해 갱신할 때,TR,킴블린,,,,,
암웨이,결제내역문의,,20/152,어느 경로로 결제 내역 확인해,TE,킴블린,,,,제거,제거
암웨이,결제내역문의,,20/152,체크카드로 결제한 것 확인 어떻게 할 수 있지,TE,킴블린,,,,,
암웨이,결제내역문의,,20/152,무통장입금 끝난 거 내역 자세히 볼 수 있는 곳 가르쳐주라,TR,킴블린,,,,,
암웨이,결제내역문의,,20/152,리스트 조회 좀 무통장 입금 한 것,TR,킴블린,,,,,
암웨이,결제내역문의,,20/152,신용카드 결제 마친 거 이력 확인하는 법 자세히 알려줘,TR,킴블린,,,,,
암웨이,결제방법문의,,6/42,전화주문할 때 결제는 무엇으로 하나요,TE,킴블린,,결제 방법에 따른 세분화 필요할지?,,제거,제거
암웨이,결제방법문의,,6/42,무통장입금,TE,킴블린,,,,,
암웨이,결제방법문의,,6/42,ars주문은 모든 결제 방법 가능하니,TR,킴블린,,,,,
암웨이,결제방법문의,,6/42,있지 체크카드 결제 방법이 궁금해,TR,킴블린,,,,,
암웨이,결제방법문의,,6/42,주문 시 어떤 결제 방법 이용 가능한지,TR,킴블린,,,,,
암웨이,결제수정요청,,15/207,결제한 카드 카드 정보 변경,TE,킴블린,,결제카드수정요청'이라고 보아야 더욱 적합할 듯,,제거,제거
암웨이,결제수정요청,,15/207,결제한 카드 다른 카드로 변경은 어떻게 하니,TE,킴블린,,,,,
암웨이,결제수정요청,,15/207,결제 이후에 체크카드 정보를 변경하려면 어떻게 해,TR,킴블린,,,,,
암웨이,결제수정요청,,15/207,이미 결제한 체크카드 교체하는 방법,TR,킴블린,,,,,
암웨이,결제수정요청,,15/207,변경할 수 있어 체크카드결제에서 신용카드로,TR,킴블린,,,,,
암웨이,교환방법문의,,6/114,교환 방법 알려주세요,TE,킴블린,,,,제거,제거
암웨이,교환방법문의,,6/114,교환을 원해요,TE,킴블린,,,,,
암웨이,교환방법문의,,6/114,어디서 해 제품 교환은,TR,킴블린,,,,,
암웨이,교환방법문의,,6/114,구입한 물건 교환 방법이 뭐야,TR,킴블린,,,,,
암웨이,교환방법문의,,6/114,방법을 모르겠어 제품 교환하는 거,TR,킴블린,,,,,
암웨이,반품내역문의,,4/31,어디서 반품한 내역 볼 수 있어,TE,킴블린,,,,제거,제거
암웨이,반품내역문의,,4/31,어디 가면 반품한 이력 조회 가능해,TE,킴블린,,,,,
암웨이,반품내역문의,,4/31,어디서 봐여 환불한 것들 좀 확인하려는데,TR,킴블린,,,,,
암웨이,반품내역문의,,4/31,어떻게 해 내가 한 리턴 내역 좀 보고 싶어,TR,킴블린,,,,,
암웨이,반품내역문의,,4/31,과거에 내가 환불했던거 그 제품들 다 말해줘요,TR,킴블린,,,,,
암웨이,반품및환불방법문의,,4/55,반품 가능한 곳 문의,TE,킴블린,,,,제거,제거
암웨이,반품및환불방법문의,,4/55,환불하는 절차가 어떻게 되나요,TE,킴블린,,,,,
암웨이,반품및환불방법문의,,4/55,환불 관련해서 문의사항,TR,킴블린,,,,,
암웨이,반품및환불방법문의,,4/55,반품하려는데 가능한 기간은 얼마나 돼,TR,킴블린,,,,,
암웨이,반품및환불방법문의,,4/55,일주일 전에 구매했던 상품이 있는데 그거 환불 되냐,TR,킴블린,,,,,
암웨이,배송방법문의,,3/27,배송 어떻게 해 줘요,TE,킴블린,,,,제거,제거
암웨이,배송방법문의,,3/27,배달 어떤 식으로 해 주니,TE,킴블린,,,,,
암웨이,배송방법문의,,3/27,복수 배송도 가능한가요,TR,킴블린,,하나의 물건을 여러곳으로~ 같은데 빼는 게 맞을지?,,,
암웨이,배송방법문의,,3/27,배송지에 여러 곳 써도 주문 되나요,TR,킴블린,,,,,
암웨이,배송방법문의,,3/27,그 내가 주문한 거 배송은 어떻게 받을 수 있는거야,TR,킴블린,,,,,
암웨이,배송불가지역문의,,7/39,상품 배달이 불가능한 지역은 어느 곳이야,TE,킴블린,,,,제거,제거
암웨이,배송불가지역문의,,7/39,제주도 배달 못 보내,TE,킴블린,,,,,
암웨이,배송불가지역문의,,7/39,설마 섬 산다고 해서 배송 안 오지는 않죠,TR,킴블린,,,,,
암웨이,배송불가지역문의,,7/39,여기 산골인데 여기까지 택배 올랑가,TR,킴블린,,,,,
암웨이,배송불가지역문의,,7/39,상품 배달이 불가능한 지역은 어느 곳이야,TR,킴블린,,,,,
암웨이,배송사고문의,,6/135,택배 사고 신고 방법이 어떻게 돼,TE,킴블린,,,,제거,제거
암웨이,배송사고문의,,6/135,운송 사고 어디에서 신고할 수 있어,TE,킴블린,,,,,
암웨이,배송사고문의,,6/135,제품이 파손된 채로 왔을 때는 어디에 문의해야 되니,TR,킴블린,,,,,
암웨이,배송사고문의,,6/135,깨진채로 온 제품 신고,TR,킴블린,,,,,
암웨이,배송사고문의,,6/135,제품 수송 중 생긴 하자가 있을 때,TR,킴블린,,,,,
암웨이,배송수수료문의,,6/82,지역별 배송료가 어떻게 되니,TE,킴블린,,,,제거,제거
암웨이,배송수수료문의,,6/82,배송료 지불해야 돼,TE,킴블린,,,,,
암웨이,배송수수료문의,,6/82,택배비 얼마쯤 함,TR,킴블린,,,,,
암웨이,배송수수료문의,,6/82,배달 요금 어느정도야,TR,킴블린,,,,,
암웨이,배송수수료문의,,6/82,제품 살때마다 택배 요금 붙니,TR,킴블린,,,,,
암웨이, 배송조회및일정문의,,6/74,택배 조회하고 싶어,TE,킴블린,,,,제거,제거
암웨이, 배송조회및일정문의,,6/74,어디에서 택배 조회할 수 있는 거야,TE,킴블린,,,,,
암웨이, 배송조회및일정문의,,6/74,택배 어디에 있는지 어케 암,TR,킴블린,,,,,
암웨이, 배송조회및일정문의,,6/74,지금 배송 진행 상황이 어떻게 되죠,TR,킴블린,,,,,
암웨이, 배송조회및일정문의,,6/74,제품 배송 진행이 어떻게 되고 있는지 확인하고 싶어,TR,킴블린,,,,,
암웨이,서비스혜택문의,,0/15,서비스 혜택에 관해 물어볼래,TR,킴블린,,,,보류,"서비스 '혜택'이라고 해서 좀 특별해 보이는데, 어휘를 바꾸면 사용할 수 있을 것 같기도 하구요...?"
암웨이,서비스혜택문의,,0/15,서비스 혜택에는 어떤 것들이 있는지 알려주세요,TR,킴블린,,,,,
암웨이,서비스혜택문의,,0/15,서비스 혜택에 어떤 게 있는지 문의,TR,킴블린,,,,,
암웨이,서비스혜택문의,,0/15,근데 신용카드 사용하면 혜택 있나요,TR,킴블린,,,,,
암웨이,서비스혜택문의,,0/15,신용카드로 구매하면 뭐가 좋은데,TR,킴블린,,,,,
암웨이,아이디및비밀번호찾기문의,,6/40,어떻게 비밀번호 찾아,TE,킴블린,,,,,제거
암웨이,아이디및비밀번호찾기문의,,6/40,어떻게 하면 아이디 찾을 수 있을까,TE,킴블린,,,,,
암웨이,아이디및비밀번호찾기문의,,6/40,비밀번호 뭐라고 설정했었는지 기억이 안 남,TR,킴블린,,,,,
암웨이,아이디및비밀번호찾기문의,,6/40,아이디 복구하는 방법 도대체 뭐야 바디키 어플,TR,킴블린,,,,,
암웨이,아이디및비밀번호찾기문의,,6/40,아이디 잃어버린거 같은데,TR,킴블린,,,,,
암웨이,영수증문의,,20/124,영수증 발부 방법이 어떻게 돼,TE,킴블린,,,,,제거
암웨이,영수증문의,,20/124,어디서 영수증 발급 신청해,TE,킴블린,,,,제거,
암웨이,영수증문의,,20/124,카드 구매 건 영수증 발급 가능한 곳 알려줘,TR,킴블린,,,,,
암웨이,영수증문의,,20/124,신카 전표 발급받는 방법 알려줘,TR,킴블린,,,,,
암웨이,영수증문의,,20/124,현금영수증 발급 신청은 어떻게 해,TR,킴블린,,,,,
암웨이,영업시간문의,,1/60,고객센터 통화 몇 시부터 돼,TE,킴블린,,,,,
암웨이,영업시간문의,,1/60,이용가능 시간 고객센타,TE,킴블린,,,,,
암웨이,영업시간문의,,1/60,너희 고객센터 주말에도 영업함,TE,킴블린,,,,,
암웨이,영업시간문의,,1/60,밤에도 전화 상담 할 수 있니,TE,킴블린,,,,,
암웨이,영업시간문의,,1/60,상담사 전화 몇 시부터 몇 시까지 가능한지 문의,TE,킴블린,,,,,
암웨이,위치문의,,0/7,매장 각각 어디 위치해 있고 주소 넘 궁금해,TR,킴블린,,,이건 건물 위치가 아닌 매장 위치에 한한다고 생각함,보류,
암웨이,위치문의,,0/7,내가 매장 한 번 방문하려고 하는데 주소 좀 알려줄래,TR,킴블린,,,,,
암웨이,위치문의,,0/7,가르쳐_ 오프라인 매장 위치요,TR,킴블린,,,,,
암웨이,위치문의,,0/7,오프라인 매장에 가는 방법 당장 알려줄래요,TR,킴블린,,,,,
암웨이,위치문의,,0/7,지금 오프라인 지점으로 가는 방법 좀 알 수 있을까,TR,킴블린,,,,,
암웨이,재가입방법문의,,10/55,탈퇴 후 재가입 어떻게 해,TE,킴블린,,,,,제거
암웨이,재가입방법문의,,10/55,탈퇴 후 멤버 재가입하는 절차 보여줘,TE,킴블린,,,,,
암웨이,재가입방법문의,,10/55,다시 가입하는 것 막히는 기간은 탈퇴 후,TR,킴블린,,,,,
암웨이,재가입방법문의,,10/55,새롭게 다시 가입하려는데 어디서 해줌,TR,킴블린,,,,,
암웨이,재가입방법문의,,10/55,탈퇴 후에 재가입은 어디서 할 수 있는지,TR,킴블린,,,,,
암웨이,정보수정요청,,14/141,주민등록번호 수정할 수 있지,TE,킴블린,,,,,
암웨이,정보수정요청,,14/141,이름 바꾸고 싶은데 어디서 합니까,TE,킴블린,,,,,
암웨이,정보수정요청,,14/141,결제 카드를 어떻게 바꾸죠,TR,킴블린,,결제정보수정요청,,,
암웨이,정보수정요청,,14/141,어디에서 정보 수정해 이름 개명했는데,TR,킴블린,,,,,
암웨이,정보수정요청,,14/141,좀 전에 산 물건 배송 주소를 변경해야 할 것 같아,TR,킴블린,,결제정보수정요청,,,
암웨이,주문내역문의,,6/53,주문 내역 확인하고 싶습니다,TE,킴블린,,,,제거,제거
암웨이,주문내역문의,,6/53,고객 주문 내역은 어디서 보는지,TE,킴블린,,,,,
암웨이,주문내역문의,,6/53,주문한 거 확인 좀 하려고 하는데 어디로 가냐,TR,킴블린,,,,,
암웨이,주문내역문의,,6/53,아까 주문한 거 보고 싶은데 방법 알려 주실래요,TR,킴블린,,,,,
암웨이,주문내역문의,,6/53,어떻게 보는데 여태껏 주문한 거,TR,킴블린,,,,,
암웨이,주문및결제취소문의,,16/81,주문 취소 요청드려요,TE,킴블린,,,,제거,제거
암웨이,주문및결제취소문의,,16/81,주문 삭제해 주세요,TE,킴블린,,,,,
암웨이,주문및결제취소문의,,16/81,주문 어떻게 하면 삭제할 수 있는지 알려줘,TR,킴블린,,,,,
암웨이,주문및결제취소문의,,16/81,카드로 산 거 모두 취소하려면 어떻게 해야 돼요,TR,킴블린,,,,,
암웨이,주문및결제취소문의,,16/81,어떻게 해야 정상적으로 취소가 가능할까,TR,킴블린,,,,,
암웨이,주문방법문의,,2/35,전화 주문 넣기,TE,킴블린,,주로 전화 주문에 대한 내용임,,제거,제거
암웨이,주문방법문의,,2/35,전화 주문으로 오더하려면,TE,킴블린,,,,,
암웨이,주문방법문의,,2/35,ARS자동응답으로 주문 시키는 방법,TR,킴블린,,,,,
암웨이,주문방법문의,,2/35,전화주문으로 오더 넣기 어떻게 하는 걸까요,TE,킴블린,,,,,
암웨이,주문방법문의,,2/35,저 주문을 하려고 하는데 안내 좀 해줄 수 있을까,TR,킴블린,,,,,
암웨이,주문수정요청,,3/150,주문 내용 변경하기,TE,킴블린,,,,제거,제거
암웨이,주문수정요청,,3/150,아까 산 물건 바꾸려 하는데 어케함,TE,킴블린,,,,,
암웨이,주문수정요청,,3/150,주문했던 상품 바꾸고 싶어,TR,킴블린,,,,,
암웨이,주문수정요청,,3/150,주문 완료된 물건 당장 변경하고 싶어,TR,킴블린,,,,,
암웨이,주문수정요청,,3/150,주문 완료된 제품을 변경하려고 하는데 어디다 해,TR,킴블린,,,,,
암웨이,탈퇴방법문의,,12/51,탈퇴 방법 문의,TE,킴블린,,,,,제거
암웨이,탈퇴방법문의,,12/51,계정 탈퇴하는 방법 궁금해,TE,킴블린,,,,,
암웨이,탈퇴방법문의,,12/51,저 계정 탈퇴하고 싶은데 회원이에요,TR,킴블린,,,,,
암웨이,탈퇴방법문의,,12/51,계정 탈퇴하고 싶은데 방법이 뭐얌,TR,킴블린,,,,,
암웨이,탈퇴방법문의,,12/51,내 아이디 지우고 싶은데 어디서 지우면 될지 모르겠네,TR,킴블린,,,,,
암웨이,포인트사용문의,,15/148,포인트 사용 방법 안내,TE,킴블린,,,,제거,제거
암웨이,포인트사용문의,,15/148,포인트 활용하는 방법 보여줄래,TE,킴블린,,,,,
암웨이,포인트사용문의,,15/148,사이트에서 포인트 활용법,TR,킴블린,,,,,
암웨이,포인트사용문의,,15/148,포인트 1회 사용한도 알려죠,TR,킴블린,,,,,
암웨이,포인트사용문의,,15/148,어떻게 쓸 수가 있어 포인트는,TR,킴블린,,,,,
암웨이,포인트적립방법문의,,20/70,포인트 어떻게 모아요,TE,킴블린,,,,제거,제거
암웨이,포인트적립방법문의,,20/70,포인트 적립 비율이 어떻게 되니,TE,킴블린,,,,,
암웨이,포인트적립방법문의,,20/70,근데 어떻게 모으는 거니 포인트는,TR,킴블린,,,,,
암웨이,포인트적립방법문의,,20/70,포인트를 근데 어떻게 모으는 건지 궁금하당,TR,킴블린,,,,,
암웨이,포인트적립방법문의,,20/70,대체 어떻게 해야 적립되는 거야 포인트는,TR,킴블린,,,,,
암웨이,프로모션문의,,6/86,프로모션 중인 제품 목록,TE,킴블린,,제거 / '이벤트'와 발화 패턴 비슷 - 활용해서 '이벤트' 인텐트 제작 가능할듯,커머스에서도 한정적인 인텐트라고 생각함,제거,제거
암웨이,프로모션문의,,6/86,현재 진행 중인 프로모션 정보 보고 싶어,TE,킴블린,,,,,
암웨이,프로모션문의,,6/86,다음 달에 진행할 프로모션이 궁금해라,TR,킴블린,,,,,
암웨이,프로모션문의,,6/86,프로모션 내용 어디에서 확인할 수 있을까,TR,킴블린,,,,,
암웨이,프로모션문의,,6/86,홈페이지 어디에서 프로모션 리스트 봐,TR,킴블린,,,,,
암웨이,할부문의,,10/66,할부로 주문하는 것 되나요,TE,킴블린,,,,제거,제거
암웨이,할부문의,,10/66,카드 무이자 할부 조건이 있나요,TE,킴블린,,,,,
